risk_group,risk_segment,delinquency_percentage,applications
R4,NTB_PURE,0.0,3
R3,TOPUP,1.613668723303275,2107
R1,TOPUP,1.9332827899924183,15828
R2,TOPUP,2.8576645667853553,10953
R1,REPEAT,2.911802797069075,115049
R4,TOPUP,3.028009084027252,1321
R3,REPEAT,3.2249395323837677,18605
R2,REPEAT,3.802045665874574,77432
R1,REGULAR_ETC,4.600795716294235,66858
R4,REPEAT,4.739018087855297,19350
R2,REGULAR_ETC,4.761745303552892,29863
R1,REGULAR_NTC,6.182488479262672,27125
R5,TOPUP,6.231454005934718,337
R3,REGULAR_ETC,7.178001563434037,43494
R3,REGULAR_NTC,7.33463962294127,18883
R2,NTB_ETB_2,7.45826407458264,13837
R1,NTB_ETB_2,7.826430425459881,17722
R2,REGULAR_NTC,8.168335466385605,26566
R4,REGULAR_ETC,8.261588701810933,23579
R2,NTB_ETB_1,8.601871101871101,7696
R3,NTB_ETB_2,8.636815920398009,5025
R3,NTB_ETB_1,8.740359897172237,2334
R4,NTB_ETB_1,9.30232558139535,43
R4,REGULAR_NTC,10.677083333333332,7680
R5,REGULAR_NTC,10.887772194304858,6567
R4,NTB_ETB_2,11.434284675513542,5501
R5,REPEAT,11.692427443567219,17986
R2,NTB_PURE,12.443507080445917,3319
R1,NTB_ETB_1,13.255572579449415,20233
R1,SMALL_TICKET,14.349550502379692,37820
R5,NTB_ETB_2,15.847820609725371,3969
R1,NTB_PURE,16.057995632128126,16484
R5,REGULAR_ETC,16.175574070310912,4921
R3,NTB_PURE,18.181818181818183,11
R5,NTB_ETB_1,24.264705882352942,136
R5,NTB_PURE,26.190476190476193,84
